CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
12346,,1,77183.6,1,1,3,Inactive Customers
12347,1.0,7,4310.0,3,2,2,Good Customers
12348,248.0,4,1797.24,1,1,1,Inactive Customers
12349,,1,1757.55,1,1,1,Inactive Customers
12350,309.0,1,334.40000000000003,1,1,1,Inactive Customers
12352,35.0,8,2506.04,2,2,2,Good Customers
12353,,1,89.0,1,1,1,Inactive Customers
12354,,1,1079.4,1,1,1,Inactive Customers
12355,213.0,1,459.40000000000003,1,1,1,Inactive Customers
12356,245.0,3,2811.43,1,1,2,Inactive Customers
12357,32.0,1,6207.67,2,1,3,Low Value Customers
12358,1.0,2,1168.06,3,1,1,Low Value Customers
12359,189.0,4,6372.58,1,1,3,Inactive Customers
12360,,3,2662.06,1,1,2,Inactive Customers
12361,,1,189.9,1,1,1,Inactive Customers
12362,2.0,10,5226.2300000000005,3,3,3,Best Customers
12363,241.0,2,552.0,1,1,1,Inactive Customers
12364,7.0,4,1313.1,3,1,1,Low Value Customers
12365,,2,641.38,1,1,1,Inactive Customers
12367,3.0,1,168.9,3,1,1,Low Value Customers
12370,274.0,4,3545.69,1,1,2,Inactive Customers
12371,59.0,2,1887.96,2,1,1,Low Value Customers
12372,212.0,3,1298.04,1,1,1,Inactive Customers
12373,310.0,1,364.6,1,1,1,Inactive Customers
12374,,1,742.9300000000001,1,1,1,Inactive Customers
12375,97.0,2,457.5,1,1,1,Inactive Customers
12377,,2,1628.1200000000001,1,1,1,Inactive Customers
12378,129.0,1,4008.62,1,1,2,Inactive Customers
12379,,2,852.24,1,1,1,Inactive Customers
12380,185.0,4,2724.81,1,1,2,Inactive Customers
12381,4.0,5,1845.31,3,2,1,Good Customers
12383,184.0,5,1850.56,1,2,1,Inactive Customers
12384,28.0,2,585.27,3,1,1,Low Value Customers
12386,337.0,2,401.9,1,1,1,Inactive Customers
12388,274.0,6,2780.6600000000003,1,2,2,Inactive Customers
12390,,1,549.84,1,1,1,Inactive Customers
12391,,1,460.89,1,1,1,Inactive Customers
12393,245.0,4,1582.6000000000001,1,1,1,Inactive Customers
12394,63.0,2,1272.48,2,1,1,Low Value Customers
12395,30.0,12,3018.63,3,3,2,Best Customers
12397,35.0,2,2409.9,2,1,2,Low Value Customers
12398,,1,1635.6599999999999,1,1,1,Inactive Customers
12399,118.0,4,1108.65,1,1,1,Inactive Customers
12401,302.0,1,84.3,1,1,1,Inactive Customers
12402,,1,225.60000000000002,1,1,1,Inactive Customers
12403,,1,427.7,1,1,1,Inactive Customers
12405,,1,1710.39,1,1,1,Inactive Customers
12406,183.0,2,3415.3,1,1,2,Inactive Customers
12407,156.0,5,1708.12,1,2,1,Inactive Customers
12408,32.0,5,2888.55,2,2,2,Good Customers
12409,182.0,3,11072.67,1,1,3,Inactive Customers
12410,308.0,2,693.33,1,1,1,Inactive Customers
12412,,3,1226.88,1,1,1,Inactive Customers
12413,66.0,3,758.1,2,1,1,Low Value Customers
12414,216.0,3,562.4100000000001,1,1,1,Inactive Customers
12415,36.0,21,124914.53,2,3,3,Good Customers
12417,2.0,9,3649.1,3,2,2,Good Customers
12418,,1,668.58,1,1,1,Inactive Customers
12420,63.0,1,600.39,2,1,1,Low Value Customers
12421,,4,807.04,1,1,1,Inactive Customers
12422,95.0,3,803.5600000000001,1,1,1,Inactive Customers
12423,0.0,8,1859.31,3,2,1,Good Customers
12424,,2,1760.96,1,1,1,Inactive Customers
12425,,1,777.2,1,1,1,Inactive Customers
12426,,1,582.73,1,1,1,Inactive Customers
12427,59.0,3,825.8000000000001,2,1,1,Low Value Customers
12428,119.0,9,7956.46,1,2,3,Inactive Customers
12429,365.0,4,3750.4,1,1,2,Inactive Customers
12430,,1,256.4,1,1,1,Inactive Customers
